T,M,U,Y1,Y2,Z1,Z2,R1,R2,EOLD1,EOLD2,E1,E2
513.66,0,-0.272533079824338,0.00442511635004195,-0.261387045090411,9.130130905333,0.44055237455298,-3.41136516799287e-05,-0.2,-0.0307053209893404,-0.433005264362554,0.00439100269836202,-0.461387045090411
513.67,0,-0.135765027515057,0.05477988860914,-0.255283436331732,9.13024068040046,0.425532624037663,-3.38305524676179e-05,-0.2,0.00439100269836202,-0.461387045090411,0.0547460580566723,-0.455283436331732
513.68,0,-0.278738967043319,-0.0135805294880598,-0.245212481879911,9.13160933185187,0.397852415761138,-3.3549802612821e-05,-0.2,0.0547460580566723,-0.455283436331732,-0.0136140792906726,-0.445212481879911
513.69,0,-0.275532111909305,-0.0105287251087205,-0.245822842755778,9.13126897986961,0.38887347386206,-3.3271382618914e-05,-0.2,-0.0136140792906726,-0.445212481879911,-0.0105619964913394,-0.445822842755778
513.7,1,-0.275532111909305,0.041962310215915,-0.251621271076525,9.13100492995732,0.379381272842912,-3.29952731510599e-05,-0.2,-0.0105619964913394,-0.445822842755778,0.041929314942764,-0.451621271076525
513.71,1,-0.275532111909305,0.0328068970778972,-0.222323949034866,9.13100492995732,0.379381272842912,-3.27214550348792e-05,-0.2,-0.0105619964913394,-0.445822842755778,0.0327741756228623,-0.422323949034866
513.72,1,-0.275532111909305,0.0669871061264971,-0.231784542610818,9.13100492995732,0.379381272842912,-3.24499092551148e-05,-0.2,-0.0105619964913394,-0.445822842755778,0.0669546562172419,-0.431784542610818
513.73,0,0.00429176379639151,0.0740062561989774,-0.220187685969329,9.13100492995732,0.379381272842912,-3.21806169543118e-05,-0.2,-0.0105619964913394,-0.445822842755778,0.0739740755820231,-0.420187685969329
513.74,0,-0.23961871565204,-0.0276188296330204,-0.216525520714121,9.13285428184687,0.348139524365357,-3.19135594315078e-05,-0.2,0.0739740755820231,-0.420187685969329,-0.0276507431924519,-0.416525520714121
513.75,0,0.0565407806766804,0.0709544518196381,-0.197299153124284,9.13216301326706,0.344387219305822,-3.16487181409341e-05,-0.2,-0.0276507431924519,-0.416525520714121,0.0709228031014972,-0.397299153124284
513.76,1,0.0565407806766804,-0.021210040436408,-0.190280003051804,9.1339360833446,0.315043378525491,-3.1386074690728e-05,-0.2,0.0709228031014972,-0.397299153124284,-0.0212414265110987,-0.390280003051804
513.77,1,0.0565407806766804,0.0114442664225223,-0.214389257648584,9.1339360833446,0.315043378525491,-3.11256108416555e-05,-0.2,0.0709228031014972,-0.397299153124284,0.0114131408116806,-0.414389257648584
513.78,0,0.04340442692197,0.0343327992675668,-0.169527733272297,9.1339360833446,0.315043378525491,-3.08673085058447e-05,-0.2,0.0709228031014972,-0.397299153124284,0.034301931959061,-0.369527733272297
513.79,1,0.04340442692197,0.020904859998474,-0.205844205386434,9.13479363164357,0.296175040656575,-3.06111497455293e-05,-0.2,0.034301931959061,-0.369527733272297,0.0208742488487285,-0.405844205386434
513.8,0,-0.0862020369869647,0.0315861753261615,-0.208896009765773,9.13479363164357,0.296175040656575,-3.03571167718039e-05,-0.2,0.034301931959061,-0.369527733272297,0.0315558182093897,-0.408896009765773
513.81,0,-0.210695625601171,-0.0132753490501258,-0.21255817502098,9.13558252709881,0.278617165836363,-3.01051919433846e-05,-0.2,0.0315558182093897,-0.408896009765773,-0.0133054542420692,-0.41255817502098
513.82,0,0.0173110972714294,0.0901808194094755,-0.219882505531395,9.13524989074276,0.273312854671922,-2.98553577653962e-05,-0.2,-0.0133054542420692,-0.41255817502098,0.0901509640517101,-0.419882505531395
513.83,1,0.0173110972714294,-0.00595101853971158,-0.194247348744945,9.13750366484405,0.241192347160927,-2.96075968881397e-05,-0.2,0.0901509640517101,-0.419882505531395,-0.00598062613659972,-0.394247348744945
513.84,0,-0.167649536706372,0.000457770656900891,-0.206149385824368,9.13750366484405,0.241192347160927,-2.93618921058992e-05,-0.2,0.0901509640517101,-0.419882505531395,0.000428408764794992,-0.406149385824368
513.85,1,-0.167649536706372,0.100251773861295,-0.200045777065689,9.13751437506317,0.233484639257649,-2.91182263557436e-05,-0.2,0.000428408764794992,-0.406149385824368,0.100222655634939,-0.400045777065689
513.86,1,-0.167649536706372,0.139314869916838,-0.209506370641641,9.13751437506317,0.233484639257649,-2.88765827163426e-05,-0.2,0.000428408764794992,-0.406149385824368,0.139285993334122,-0.409506370641641
513.87,1,-0.167649536706372,0.136263065537499,-0.192721446555275,9.13751437506317,0.233484639257649,-2.86369444067906e-05,-0.2,0.000428408764794992,-0.406149385824368,0.136234428593092,-0.392721446555275
513.88,1,-0.167649536706372,0.143892576485847,-0.197909514000152,9.13751437506317,0.233484639257649,-2.83992947854421e-05,-0.2,0.000428408764794992,-0.406149385824368,0.143864177191061,-0.397909514000152
513.89,1,-0.167649536706372,0.0968947890440219,-0.242771038376439,9.13751437506317,0.233484639257649,-2.81636173487556e-05,-0.2,0.000428408764794992,-0.406149385824368,0.0968666254266732,-0.442771038376439
513.9,0,0.148348914365519,0.0962844281681541,-0.177767605096513,9.13751437506317,0.233484639257649,-2.79298957301478e-05,-0.2,0.000428408764794992,-0.406149385824368,0.0962564982724239,-0.377767605096513
513.91,0,0.152713977652108,0.106355382619974,-0.181734950789654,9.13992078751998,0.201026028039547,-2.76981136988568e-05,-0.2,0.0962564982724239,-0.377767605096513,0.106327684506275,-0.381734950789654
513.92,0,-0.0397324891404347,0.0144960708018615,-0.168612191958495,9.14257897963264,0.166962907536047,-2.74682551588151e-05,-0.2,0.106327684506275,-0.381734950789654,0.0144686025467027,-0.368612191958495
513.93,1,-0.0397324891404347,-0.00320439459830624,-0.189669642175936,9.14294069469631,0.157931009767529,-2.7240304147529e-05,-0.2,0.0144686025467027,-0.368612191958495,-0.00323163490245377,-0.389669642175936
513.94,0,-0.10471680084382,0.0312809948882276,-0.203097581445029,9.14294069469631,0.157931009767529,-2.70142448349809e-05,-0.2,0.0144686025467027,-0.368612191958495,0.0312539806433926,-0.403097581445029
513.95,0,0.0220798446124244,0.0599679560540167,-0.182955672541389,9.14372204421239,0.144805636514865,-2.67900615225138e-05,-0.2,0.0312539806433926,-0.403097581445029,0.0599411659924942,-0.382955672541389
513.96,0,-0.0558011363862041,0.0205996795605401,-0.175326161593041,9.1452205733622,0.124611505370553,-2.65677386417522e-05,-0.2,0.0599411659924942,-0.382955672541389,0.0205731118218983,-0.375326161593041
513.97,1,-0.0558011363862041,0.0343327992675668,-0.189364461738002,9.14573490115775,0.115321234993533,-2.63472607535176e-05,-0.2,0.0205731118218983,-0.375326161593041,0.0343064520068133,-0.389364461738002
513.98,0,-0.0223333002362411,0.0492866407263293,-0.186617837796597,9.14573490115775,0.115321234993533,-2.61286125467572e-05,-0.2,0.0205731118218983,-0.375326161593041,0.0492605121137825,-0.386617837796597
513.99,0,-0.0707094975906823,0.0465400167849239,-0.199130235751888,9.14696641396059,0.098841370166387,-2.59117788374796e-05,-0.2,0.0492605121137825,-0.386617837796597,0.0465141050060864,-0.399130235751888
514,0,-0.0855001505872111,0.0480659189745936,-0.20401312275883,9.14812926658575,0.0835968237211625,-2.56967445677014e-05,-0.2,0.0465141050060864,-0.399130235751888,0.0480402222300259,-0.40401312275883
514.01,1,-0.0855001505872111,0.0868238345922023,-0.193636987869077,9.1493302721415,0.0684343420269587,-2.54834948044007e-05,-0.2,0.0480402222300259,-0.40401312275883,0.0867983510973979,-0.393636987869077
514.02,0,0.147114493407681,0.116731517509727,-0.180819409475852,9.1493302721415,0.0684343420269587,-2.52720147384804e-05,-0.2,0.0480402222300259,-0.40401312275883,0.116706245494989,-0.380819409475852
514.03,0,-0.0657769282552132,0.0437933928435186,-0.18997482261387,9.15224792827887,0.0358400762866437,-2.506228968374e-05,-0.2,0.116706245494989,-0.380819409475852,0.0437683305538348,-0.38997482261387
514.04,0,-0.0289208595460601,0.0346379797055008,-0.169222552834363,9.15334213654272,0.0232958020231381,-2.48543050758551e-05,-0.2,0.0437683305538348,-0.38997482261387,0.0346131254004249,-0.369222552834363
514.05,1,-0.0289208595460601,0.0184634164950026,-0.1884489204242,9.15420746467773,0.0135344278044068,-2.46480464713667e-05,-0.2,0.0346131254004249,-0.369222552834363,0.0184387684485312,-0.3884489204242
514.06,0,-0.20862114169188,-0.0141908903639276,-0.188754100862134,9.15420746467773,0.0135344278044068,-2.44434995466753e-05,-0.2,0.0346131254004249,-0.369222552834363,-0.0142153338634743,-0.388754100862134
514.07,1,-0.20862114169188,0.105134660868238,-0.19546807049668,9.15385208133114,0.0168157906456751,-2.42406500970558e-05,-0.2,-0.0142153338634743,-0.388754100862134,0.105110420218141,-0.39546807049668
514.08,0,0.224900431336832,0.139009689478904,-0.168612191958495,9.15385208133114,0.0168157906456751,-2.40394840356571e-05,-0.2,-0.0142153338634743,-0.388754100862134,0.138985649994868,-0.368612191958495
514.09,0,-0.0814005566727013,0.0386053253986418,-0.186312657358663,9.15732672258101,-0.0199636896818189,-2.3839987392533e-05,-0.2,0.138985649994868,-0.368612191958495,0.0385814854112493,-0.386312657358663
514.1,1,-0.0814005566727013,0.00595101853971158,-0.18142977035172,9.15829125971629,-0.0293976924959366,-2.36421463136697e-05,-0.2,0.0385814854112493,-0.386312657358663,0.00592737639339791,-0.38142977035172
514.11,0,-0.152851885386154,0.0120546272983901,-0.187838559548332,9.15829125971629,-0.0293976924959366,-2.34459470600238e-05,-0.2,0.0385814854112493,-0.386312657358663,0.0120311813513301,-0.387838559548332
514.12,0,0.143358520812174,0.0953688868543523,-0.156404974441138,9.15859203925008,-0.0316098016545441,-2.32513760065685e-05,-0.2,0.0120311813513301,-0.387838559548332,0.0953456354783457,-0.356404974441138
514.13,1,0.143358520812174,0.0364690623331043,-0.181734950789654,9.16097568013704,-0.0554821138745725,-2.30584196413467e-05,-0.2,0.0953456354783457,-0.356404974441138,0.036446003913463,-0.381734950789654
514.14,0,0.0098739762668798,0.0990310521095594,-0.201876859693293,9.16097568013704,-0.0554821138745725,-2.28670645645333e-05,-0.2,0.0953456354783457,-0.356404974441138,0.0990081850449949,-0.401876859693293
514.15,1,0.0098739762668798,0.0645456626230256,-0.187533379110398,9.16345088476316,-0.0795578625118445,-2.26772974875045e-05,-0.2,0.0990081850449949,-0.401876859693293,0.0645229853255381,-0.387533379110398
514.16,0,-0.0868856154513019,0.0526436255436025,-0.194552529182879,9.16345088476316,-0.0795578625118445,-2.24891052319147e-05,-0.2,0.0990081850449949,-0.401876859693293,0.0526211364383706,-0.394552529182879
514.17,1,-0.0868856154513019,0.0254825665674829,-0.1884489204242,9.16476641317412,-0.0907768282047919,-2.23024747287817e-05,-0.2,0.0526211364383706,-0.394552529182879,0.0254602640927542,-0.3884489204242
514.18,1,-0.0868856154513019,-0.00350957503624016,-0.189669642175936,9.16476641317412,-0.0907768282047919,-2.21173930175767e-05,-0.2,0.0526211364383706,-0.394552529182879,-0.00353169242925774,-0.389669642175936
514.19,1,-0.0868856154513019,-0.00595101853971158,-0.192721446555275,9.16476641317412,-0.0907768282047919,-2.19338472453331e-05,-0.2,0.0526211364383706,-0.394552529182879,-0.00597295238695692,-0.392721446555275
514.2,0,-0.0986676208001971,0.0395208667124436,-0.186923018234531,9.16476641317412,-0.0907768282047919,-2.17518246657406e-05,-0.2,0.0526211364383706,-0.394552529182879,0.0394991148877779,-0.386923018234531
514.21,1,-0.0986676208001971,0.0666819256885631,-0.187533379110398,9.16575389104631,-0.0982200171044528,-2.15713126382693e-05,-0.2,0.0394991148877779,-0.386923018234531,0.0666603543759249,-0.387533379110398
514.22,1,-0.0986676208001971,0.0846875715266648,-0.190280003051804,9.16575389104631,-0.0982200171044528,-2.13922986272892e-05,-0.2,0.0394991148877779,-0.386923018234531,0.0846661792280376,-0.390280003051804
514.23,1,-0.0986676208001971,0.0904859998474095,-0.193942168307011,9.16575389104631,-0.0982200171044528,-2.12147702011997e-05,-0.2,0.0394991148877779,-0.386923018234531,0.0904647850772083,-0.393942168307011
514.24,0,-0.00693223218939576,0.0761425192645149,-0.185397116044861,9.16575389104631,-0.0982200171044528,-2.10387150315666e-05,-0.2,0.0394991148877779,-0.386923018234531,0.0761214805494833,-0.385397116044861
514.25,1,-0.00693223218939576,0.0276188296330204,-0.187838559548332,9.16765692806005,-0.114980549412572,-2.08641208922657e-05,-0.2,0.0761214805494833,-0.385397116044861,0.0275979655121282,-0.387838559548332
514.26,0,-0.236366240044207,-0.016937514305333,-0.185091935606927,9.16765692806005,-0.114980549412572,-2.06909756586338e-05,-0.2,0.0761214805494833,-0.385397116044861,-0.0169582052809916,-0.385091935606927
514.27,1,-0.236366240044207,0.10452429999237,-0.180514229037918,9.16723297292803,-0.106936421743057,-2.05192673066269e-05,-0.2,-0.0169582052809916,-0.385091935606927,0.104503780725063,-0.380514229037918
514.28,1,-0.236366240044207,0.13168535896849,-0.189059281300068,9.16723297292803,-0.106936421743057,-2.03489839119846e-05,-0.2,-0.0169582052809916,-0.385091935606927,0.131665009984578,-0.389059281300068
514.29,1,-0.236366240044207,0.05477988860914,-0.178377965972381,9.16723297292803,-0.106936421743057,-2.0180113649403e-05,-0.2,-0.0169582052809916,-0.385091935606927,0.0547597084954906,-0.378377965972381
514.3,1,-0.236366240044207,0.0654612039368274,-0.162203402761882,9.16723297292803,-0.106936421743057,-2.00126447917125e-05,-0.2,-0.0169582052809916,-0.385091935606927,0.0654411912920357,-0.362203402761882
514.31,1,-0.236366240044207,0.0752269779507131,-0.15579461356527,9.16723297292803,-0.106936421743057,-1.98465657090623e-05,-0.2,-0.0169582052809916,-0.385091935606927,0.075207131385004,-0.35579461356527
514.32,1,-0.236366240044207,0.0383001449607079,-0.147859922178988,9.16723297292803,-0.106936421743057,-1.96818648681196e-05,-0.2,-0.0169582052809916,-0.385091935606927,0.0382804630958398,-0.347859922178988
514.33,0,0.195965822580436,0.116426337071793,-0.149691004806591,9.16723297292803,-0.106936421743057,-1.9518530831258e-05,-0.2,-0.0169582052809916,-0.385091935606927,0.116406818540962,-0.349691004806591
